"","PERSON_ID","PLAYER_LAST_NAME","PLAYER_FIRST_NAME","PLAYER_SLUG","TEAM_ID","TEAM_ABBREVIATION"
"2835","45","McCloud","George","george-mccloud","1610612754","IND"
"2836","1630644","McClung","Mac","mac-mcclung","1610612753","ORL"
"2837","203468","McCollum","CJ","cj-mccollum","1610612740","NOP"
"2838","77513","McConathy","John","john-mcconathy","1610612737","ATL"
"2839","77514","McConnell","Paul","paul-mcconnell","1610612737","ATL"
"2840","204456","McConnell","T.J.","tj-mcconnell","1610612754","IND"
"2841","77515","McCord","Keith","keith-mccord","1610612764","WAS"
"2842","77516","McCormick","Tim","tim-mccormick","1610612760","OKC"
"2843","1741","McCoy","Jelani","jelani-mccoy","1610612760","OKC"
"2844","77517","McCracken","Paul","paul-mccracken","1610612745","HOU"
"2845","200840","McCray","Chris","chris-mccray","1610612749","MIL"
"2846","1622","McCray","Rodney","rodney-mccray","1610612745","HOU"
"2847","77518","McCray","Scooter","scooter-mccray","1610612760","OKC"
"2848","1628571","McCree","Erik","erik-mccree","1610612762","UTA"
"2849","1626191","McCullough","Chris","chris-mccullough","1610612751","BKN"
"2850","77520","McCullough","John","john-mccullough","1610612756","PHX"
"2851","723","McDaniel","Clint","clint-mcdaniel","1610612758","SAC"
"2852","1365","McDaniel","Xavier","xavier-mcdaniel","1610612760","OKC"
"2853","1630183","McDaniels","Jaden","jaden-mcdaniels","1610612750","MIN"
"2854","1629667","McDaniels","Jalen","jalen-mcdaniels","1610612761","TOR"
"2855","77523","McDaniels","Jim","jim-mcdaniels","1610612760","OKC"
"2856","203909","McDaniels","KJ","kj-mcdaniels","1610612745","HOU"
"2857","203926","McDermott","Doug","doug-mcdermott","1610612754","IND"
"2858","1630253","McDermott","Sean","sean-mcdermott","1610612763","MEM"
"2859","77524","McDonald","Ben","ben-mcdonald","1610612744","GSW"
"2860","77525","McDonald","Glenn","glenn-mcdonald","1610612738","BOS"
"2861","1075","McDonald","Michael","michael-mcdonald","1610612766","CHA"
"2862","77527","McDowell","Hank","hank-mcdowell","1610612746","LAC"
"2863","686","McDyess","Antonio","antonio-mcdyess","1610612765","DET"
"2864","77528","McElroy","Jim","jim-mcelroy","1610612762","UTA"
"2865","200829","McFarlin","Ivan","ivan-mcfarlin","1610612755","PHI"
"2866","77529","McGaha","Mel","mel-mcgaha","1610612752","NYK"
"2867","203956","McGary","Mitch","mitch-mcgary","1610612760","OKC"
"2868","201580","McGee","JaVale","javale-mcgee","1610612758","SAC"
